State_Name,Year,Month,Day_of_Week,Time_of_Day,Accident_Severity,Number_of_Vehicles_Involved,Vehicle_Type_Involved,Number_of_Casualties,Number_of_Fatalities,Weather_Conditions,Road_Type,Road_Condition,Lighting_Conditions,Traffic_Control_Presence,Speed_Limit ,Driver_Age,Driver_Gender,Driver_License_Status,Alcohol_Involvement,Accident_Location_Details,Age_group
Uttarakhand,2020,April,Saturday,16:57,Minor,3,Bus,6,2,Clear,State Highway,Wet,Dark,Police Checkpost,66,25,Female,Expired,Yes,Straight Road,21-30
Jammu and Kashmir,2023,December,Friday,17:12,Fatal,5,Cycle,10,3,Rainy,Urban Road,Under Construction,Dark,Signals,68,61,Female,Expired,Yes,Intersection,60-70
Gujarat,2018,August,Thursday,09:03,Minor,4,Pedestrian,10,0,Foggy,National Highway,Dry,Dawn,Signals,74,21,Female,Expired,No,Bridge,21-30
Manipur,2020,May,Sunday,08:53,Minor,5,Two-Wheeler,10,1,Hazy,Urban Road,Wet,Daylight,Signals,33,24,Female,Valid,Yes,Bridge,21-30
Maharashtra,2023,May,Wednesday,12:02,Fatal,4,Two-Wheeler,7,1,Hazy,Urban Road,Under Construction,Dusk,Signs,57,49,Female,Expired,No,Straight Road,30-50
Madhya Pradesh,2022,July,Sunday,02:57,Minor,1,Car,8,2,Hazy,Urban Road,Dry,Dawn,Signs,81,18,Female,Expired,Yes,Intersection,18-21
Bihar,2023,March,Monday,03:27,Fatal,4,Bus,1,1,Hazy,Village Road,Dry,Dusk,Signals,67,63,Female,Expired,No,Bridge,60-70
Tripura,2022,February,Saturday,02:35,Fatal,4,Cycle,6,0,Foggy,State Highway,Under Construction,Dusk,Signals,98,64,Female,Expired,Yes,Curve,60-70
Madhya Pradesh,2018,October,Tuesday,11:17,Serious,2,Bus,4,3,Clear,Village Road,Under Construction,Daylight,Signs,73,18,Female,Expired,No,Curve,18-21
Punjab,2018,August,Sunday,14:45,Serious,1,Cycle,3,1,Rainy,Village Road,Wet,Daylight,Signals,74,57,Male,Expired,No,Curve,50-60
Nagaland,2018,July,Friday,09:17,Fatal,3,Auto-Rickshaw,7,3,Stormy,Urban Road,Damaged,Dawn,Signs,47,37,Male,Valid,No,Curve,30-50
Gujarat,2022,August,Sunday,12:26,Serious,1,Two-Wheeler,3,3,Rainy,State Highway,Under Construction,Daylight,Signs,59,55,Female,Expired,Yes,Bridge,50-60
Tripura,2020,August,Monday,16:40,Serious,5,Cycle,10,5,Rainy,National Highway,Dry,Dusk,Police Checkpost,37,40,Female,Expired,No,Straight Road,30-50
Telangana,2023,September,Sunday,13:12,Minor,1,Car,6,3,Stormy,State Highway,Dry,Dawn,Signs,84,52,Male,Expired,No,Bridge,50-60
Jammu and Kashmir,2019,March,Sunday,07:50,Serious,1,Car,0,0,Hazy,National Highway,Dry,Daylight,Police Checkpost,50,20,Male,Expired,Yes,Bridge,18-21
Goa,2020,June,Sunday,15:50,Fatal,1,Auto-Rickshaw,8,5,Stormy,Village Road,Wet,Dark,Signals,49,51,Female,Valid,Yes,Curve,50-60
Gujarat,2023,August,Wednesday,10:13,Serious,4,Pedestrian,5,4,Stormy,Village Road,Wet,Daylight,Signs,102,29,Male,Valid,No,Curve,21-30
Uttarakhand,2021,May,Thursday,05:29,Fatal,2,Bus,2,2,Stormy,Village Road,Damaged,Daylight,Signals,86,27,Male,Valid,Yes,Straight Road,21-30
Manipur,2022,August,Saturday,11:22,Minor,4,Car,8,4,Foggy,Village Road,Under Construction,Dark,Signals,41,37,Male,Expired,Yes,Straight Road,30-50
Chhattisgarh,2020,October,Friday,18:43,Fatal,4,Auto-Rickshaw,3,5,Clear,State Highway,Damaged,Dusk,Signs,111,59,Male,Expired,No,Curve,50-60
Manipur,2021,June,Wednesday,03:40,Fatal,5,Pedestrian,4,5,Foggy,Urban Road,Under Construction,Dark,Signals,32,26,Male,Valid,Yes,Intersection,21-30
Mizoram,2021,May,Monday,03:50,Serious,3,Truck,9,5,Rainy,State Highway,Under Construction,Dusk,Signs,83,34,Female,Expired,Yes,Intersection,30-50
Chhattisgarh,2018,October,Wednesday,10:18,Fatal,1,Bus,1,2,Clear,Urban Road,Wet,Daylight,Police Checkpost,119,49,Female,Expired,No,Bridge,30-50
Puducherry,2022,February,Wednesday,04:31,Serious,5,Cycle,10,5,Hazy,Urban Road,Under Construction,Dark,Police Checkpost,30,39,Male,Valid,No,Bridge,30-50
West Bengal,2018,June,Saturday,20:12,Serious,1,Bus,0,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,88,53,Male,Expired,Yes,Intersection,50-60
Punjab,2019,May,Tuesday,22:18,Minor,5,Pedestrian,4,4,Stormy,Village Road,Wet,Dawn,Signs,49,57,Female,Expired,Yes,Intersection,50-60
Karnataka,2020,May,Thursday,06:49,Serious,2,Cycle,8,2,Rainy,Urban Road,Wet,Daylight,Signs,96,43,Male,Valid,Yes,Intersection,30-50
Nagaland,2020,November,Sunday,20:49,Serious,3,Cycle,0,4,Foggy,National Highway,Dry,Daylight,Police Checkpost,79,54,Female,Expired,Yes,Intersection,50-60
Maharashtra,2019,July,Monday,20:04,Fatal,3,Pedestrian,2,2,Clear,National Highway,Wet,Dark,Signals,35,55,Male,Valid,Yes,Bridge,50-60
Karnataka,2023,June,Sunday,23:33,Serious,3,Two-Wheeler,5,3,Rainy,National Highway,Wet,Dark,Signals,31,42,Female,Valid,No,Straight Road,30-50
Odisha,2019,September,Friday,08:19,Serious,2,Two-Wheeler,4,4,Stormy,Village Road,Damaged,Dark,Signals,68,43,Male,Expired,Yes,Curve,30-50
Telangana,2019,July,Friday,20:20,Serious,1,Car,1,5,Hazy,Urban Road,Wet,Dawn,Signs,53,18,Female,Valid,No,Intersection,18-21
Chhattisgarh,2019,May,Friday,00:21,Minor,4,Auto-Rickshaw,0,2,Foggy,Village Road,Dry,Dusk,Police Checkpost,56,61,Female,Valid,No,Intersection,60-70
Madhya Pradesh,2019,November,Thursday,10:31,Serious,1,Car,1,0,Stormy,State Highway,Dry,Daylight,Police Checkpost,117,21,Male,Valid,No,Curve,21-30
Karnataka,2020,May,Monday,02:21,Fatal,1,Two-Wheeler,6,1,Rainy,Village Road,Wet,Daylight,Police Checkpost,54,29,Male,Expired,Yes,Straight Road,21-30
Arunachal Pradesh,2018,June,Sunday,04:11,Fatal,4,Cycle,4,1,Hazy,National Highway,Under Construction,Daylight,Police Checkpost,101,35,Male,Valid,Yes,Curve,30-50
Puducherry,2018,July,Friday,12:56,Minor,3,Truck,0,0,Clear,National Highway,Under Construction,Dark,Police Checkpost,86,62,Female,Expired,No,Curve,60-70
Tamil Nadu,2022,April,Saturday,14:54,Serious,1,Truck,3,2,Hazy,Urban Road,Under Construction,Dawn,Signs,69,41,Male,Expired,Yes,Curve,30-50
Bihar,2019,March,Tuesday,20:20,Minor,5,Car,9,1,Stormy,National Highway,Dry,Daylight,Signals,67,58,Male,Expired,Yes,Straight Road,50-60
Uttarakhand,2019,July,Wednesday,19:50,Serious,4,Bus,4,5,Hazy,State Highway,Dry,Daylight,Police Checkpost,69,44,Female,Expired,No,Curve,30-50
Bihar,2019,March,Saturday,06:04,Fatal,1,Two-Wheeler,5,1,Stormy,Urban Road,Under Construction,Daylight,Signs,35,62,Female,Valid,No,Intersection,60-70
Tripura,2019,September,Friday,07:15,Minor,1,Car,10,1,Rainy,National Highway,Under Construction,Dawn,Signs,118,44,Female,Expired,No,Curve,30-50
Rajasthan,2018,August,Saturday,14:14,Serious,3,Auto-Rickshaw,3,0,Stormy,Village Road,Dry,Dusk,Signals,120,51,Female,Valid,Yes,Bridge,50-60
Puducherry,2019,December,Wednesday,15:21,Minor,1,Bus,3,1,Hazy,National Highway,Dry,Dark,Signals,73,53,Male,Valid,No,Curve,50-60
Madhya Pradesh,2019,August,Saturday,12:46,Minor,5,Two-Wheeler,1,3,Hazy,Village Road,Dry,Dusk,Signals,31,43,Male,Valid,No,Bridge,30-50
Uttar Pradesh,2023,November,Friday,15:18,Minor,1,Car,4,4,Stormy,Village Road,Wet,Dark,Signals,45,40,Male,Valid,No,Bridge,30-50
Assam,2019,May,Sunday,20:55,Serious,3,Truck,7,0,Clear,National Highway,Under Construction,Dark,Signals,100,31,Female,Expired,No,Bridge,30-50
Chandigarh,2019,August,Thursday,17:40,Serious,3,Truck,2,0,Clear,Urban Road,Dry,Dusk,Police Checkpost,64,36,Male,Valid,Yes,Curve,30-50
Himachal Pradesh,2023,December,Friday,05:36,Minor,3,Auto-Rickshaw,3,1,Clear,Village Road,Under Construction,Dark,Signals,78,63,Male,Valid,Yes,Curve,60-70
Delhi,2018,October,Sunday,17:59,Minor,5,Bus,6,4,Foggy,National Highway,Dry,Dusk,Signs,67,67,Male,Valid,No,Bridge,60-70
Puducherry,2020,October,Tuesday,20:35,Minor,5,Pedestrian,8,1,Foggy,National Highway,Damaged,Dark,Signs,65,67,Female,Expired,No,Bridge,60-70
Assam,2020,December,Saturday,03:48,Fatal,2,Pedestrian,0,2,Stormy,National Highway,Damaged,Daylight,Signs,49,60,Female,Valid,No,Intersection,60-70
Haryana,2020,March,Monday,20:24,Fatal,2,Bus,3,4,Clear,Urban Road,Under Construction,Dusk,Signals,91,35,Female,Expired,Yes,Curve,30-50
Assam,2020,January,Sunday,23:22,Serious,5,Cycle,4,4,Foggy,Urban Road,Damaged,Dark,Signs,99,58,Female,Valid,No,Curve,50-60
Odisha,2023,May,Wednesday,06:14,Fatal,5,Cycle,4,4,Foggy,National Highway,Damaged,Dusk,Police Checkpost,58,47,Male,Valid,No,Straight Road,30-50
Sikkim,2018,June,Saturday,05:53,Serious,2,Two-Wheeler,3,2,Rainy,State Highway,Wet,Dusk,Police Checkpost,40,48,Female,Valid,Yes,Curve,30-50
Mizoram,2019,June,Monday,05:35,Minor,4,Cycle,6,5,Foggy,Urban Road,Under Construction,Daylight,Signs,35,47,Female,Expired,Yes,Straight Road,30-50
West Bengal,2018,August,Thursday,03:40,Serious,1,Auto-Rickshaw,8,0,Stormy,Village Road,Under Construction,Daylight,Signals,48,28,Male,Valid,No,Bridge,21-30
Bihar,2019,May,Sunday,05:19,Minor,3,Truck,7,4,Stormy,National Highway,Under Construction,Daylight,Signs,118,22,Female,Valid,Yes,Straight Road,21-30
West Bengal,2021,July,Saturday,03:30,Minor,3,Auto-Rickshaw,0,2,Clear,State Highway,Under Construction,Dark,Signals,38,69,Male,Expired,No,Intersection,60-70
Rajasthan,2023,December,Tuesday,22:00,Minor,5,Car,6,4,Clear,Village Road,Wet,Dusk,Police Checkpost,62,38,Female,Expired,Yes,Straight Road,30-50
Bihar,2021,January,Sunday,20:17,Fatal,3,Bus,9,3,Foggy,National Highway,Wet,Daylight,Signs,40,40,Female,Expired,No,Intersection,30-50
Delhi,2023,October,Tuesday,22:37,Serious,3,Pedestrian,6,3,Clear,National Highway,Damaged,Daylight,Signs,55,64,Male,Expired,Yes,Straight Road,60-70
Punjab,2018,June,Monday,00:54,Minor,4,Car,1,3,Hazy,Village Road,Wet,Dark,Signals,106,45,Female,Valid,Yes,Intersection,30-50
Uttarakhand,2020,June,Monday,13:34,Fatal,1,Auto-Rickshaw,3,0,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,50,29,Female,Expired,Yes,Curve,21-30
Himachal Pradesh,2020,November,Monday,03:03,Minor,4,Bus,5,0,Rainy,National Highway,Damaged,Daylight,Police Checkpost,32,60,Female,Valid,Yes,Intersection,60-70
Gujarat,2022,June,Wednesday,15:17,Fatal,1,Cycle,9,1,Hazy,State Highway,Damaged,Dusk,Police Checkpost,32,23,Male,Valid,Yes,Intersection,21-30
Uttar Pradesh,2018,October,Tuesday,19:42,Serious,2,Car,7,0,Stormy,State Highway,Dry,Dusk,Signs,106,22,Male,Expired,No,Curve,21-30
Karnataka,2019,January,Tuesday,12:21,Fatal,3,Cycle,6,2,Hazy,State Highway,Damaged,Dark,Police Checkpost,41,22,Female,Expired,No,Curve,21-30
Manipur,2019,August,Friday,02:01,Minor,5,Truck,1,4,Hazy,Urban Road,Wet,Daylight,Signs,120,67,Female,Expired,No,Straight Road,60-70
Madhya Pradesh,2019,February,Thursday,08:19,Serious,2,Cycle,8,2,Clear,Village Road,Under Construction,Dusk,Signs,84,66,Male,Valid,No,Curve,60-70
Jammu and Kashmir,2021,October,Friday,11:52,Minor,1,Two-Wheeler,2,3,Stormy,Village Road,Under Construction,Dusk,Signals,79,54,Male,Expired,No,Straight Road,50-60
Chhattisgarh,2021,November,Friday,04:24,Minor,1,Auto-Rickshaw,0,2,Stormy,State Highway,Damaged,Daylight,Police Checkpost,111,36,Male,Expired,Yes,Intersection,30-50
Manipur,2022,October,Saturday,00:06,Fatal,4,Bus,0,3,Clear,Urban Road,Dry,Dawn,Signs,98,27,Male,Expired,No,Straight Road,21-30
Himachal Pradesh,2023,March,Tuesday,05:14,Minor,3,Two-Wheeler,3,3,Stormy,Village Road,Damaged,Dark,Signs,93,22,Male,Valid,No,Intersection,21-30
Delhi,2021,September,Thursday,20:15,Serious,1,Truck,10,0,Stormy,National Highway,Damaged,Dusk,Signs,102,63,Female,Expired,Yes,Straight Road,60-70
Nagaland,2021,January,Wednesday,14:19,Minor,1,Two-Wheeler,2,1,Foggy,State Highway,Dry,Daylight,Signals,38,69,Female,Valid,No,Intersection,60-70
Karnataka,2023,March,Friday,21:18,Serious,3,Two-Wheeler,7,3,Clear,Urban Road,Wet,Dark,Signs,118,47,Female,Expired,Yes,Curve,30-50
Manipur,2022,May,Wednesday,17:08,Serious,5,Pedestrian,9,1,Hazy,Village Road,Damaged,Daylight,Signals,120,28,Female,Valid,Yes,Intersection,21-30
Telangana,2019,June,Wednesday,09:33,Minor,2,Truck,8,0,Hazy,Urban Road,Damaged,Dawn,Signs,30,20,Male,Valid,Yes,Straight Road,18-21
Goa,2019,August,Thursday,16:07,Minor,2,Car,3,5,Clear,Village Road,Damaged,Dark,Police Checkpost,62,50,Male,Expired,No,Intersection,50-60
Punjab,2021,November,Saturday,19:19,Serious,2,Truck,1,0,Hazy,Urban Road,Under Construction,Dawn,Signs,67,33,Female,Expired,Yes,Straight Road,30-50
Goa,2021,May,Friday,11:16,Minor,1,Pedestrian,10,3,Rainy,National Highway,Wet,Daylight,Signals,97,45,Male,Valid,No,Bridge,30-50
Haryana,2023,December,Wednesday,13:48,Minor,1,Cycle,7,4,Rainy,Village Road,Damaged,Daylight,Signs,68,19,Male,Expired,No,Straight Road,18-21
Gujarat,2020,April,Sunday,17:25,Minor,2,Auto-Rickshaw,10,2,Foggy,State Highway,Damaged,Dusk,Signals,110,38,Female,Expired,Yes,Bridge,30-50
Nagaland,2021,April,Wednesday,22:45,Fatal,5,Auto-Rickshaw,5,0,Rainy,State Highway,Wet,Dark,Police Checkpost,35,62,Male,Valid,No,Bridge,60-70
Goa,2019,June,Wednesday,14:59,Serious,2,Cycle,0,4,Foggy,Urban Road,Dry,Dark,Police Checkpost,109,48,Male,Expired,No,Straight Road,30-50
Sikkim,2021,August,Thursday,13:11,Serious,1,Auto-Rickshaw,0,4,Clear,State Highway,Wet,Dusk,Police Checkpost,59,60,Male,Expired,Yes,Straight Road,60-70
Puducherry,2023,December,Wednesday,21:33,Serious,3,Auto-Rickshaw,4,2,Clear,Village Road,Under Construction,Dark,Signs,86,67,Female,Expired,No,Straight Road,60-70
Jharkhand,2023,April,Monday,09:22,Serious,2,Two-Wheeler,6,5,Rainy,State Highway,Damaged,Dark,Signals,118,25,Male,Valid,No,Bridge,21-30
Jharkhand,2020,August,Monday,08:31,Serious,1,Pedestrian,6,2,Hazy,State Highway,Wet,Daylight,Signals,46,37,Male,Valid,Yes,Bridge,30-50
Bihar,2023,April,Tuesday,08:55,Minor,5,Truck,0,4,Stormy,Urban Road,Wet,Dark,Signs,45,32,Male,Valid,Yes,Straight Road,30-50
Jharkhand,2023,February,Thursday,22:27,Minor,1,Car,0,1,Clear,Village Road,Dry,Daylight,Signs,65,19,Female,Expired,Yes,Straight Road,18-21
Kerala,2022,October,Tuesday,00:07,Serious,4,Pedestrian,10,0,Stormy,State Highway,Under Construction,Dawn,Signs,66,23,Female,Valid,No,Curve,21-30
Sikkim,2021,January,Wednesday,00:00,Minor,4,Bus,4,3,Stormy,Village Road,Wet,Dusk,Police Checkpost,91,47,Male,Expired,No,Bridge,30-50
Telangana,2022,September,Wednesday,16:38,Fatal,3,Two-Wheeler,6,1,Clear,National Highway,Dry,Daylight,Signs,46,44,Male,Valid,Yes,Curve,30-50
West Bengal,2018,May,Friday,17:10,Fatal,4,Car,10,2,Foggy,Urban Road,Under Construction,Daylight,Signs,115,32,Male,Valid,No,Intersection,30-50
Karnataka,2018,July,Sunday,23:46,Serious,5,Two-Wheeler,10,5,Clear,Village Road,Dry,Daylight,Signs,85,48,Female,Valid,No,Bridge,30-50
Jammu and Kashmir,2022,January,Saturday,02:23,Serious,4,Two-Wheeler,3,5,Hazy,National Highway,Under Construction,Dusk,Police Checkpost,103,29,Male,Expired,No,Curve,21-30
Rajasthan,2022,August,Friday,10:34,Minor,3,Two-Wheeler,9,0,Clear,State Highway,Wet,Daylight,Signs,90,65,Male,Valid,Yes,Bridge,60-70
Uttarakhand,2018,July,Friday,06:40,Serious,5,Cycle,3,0,Hazy,State Highway,Damaged,Dusk,Signs,61,18,Male,Expired,Yes,Bridge,18-21
Uttarakhand,2022,August,Monday,23:32,Serious,3,Auto-Rickshaw,1,3,Clear,Urban Road,Under Construction,Dark,Signs,66,54,Male,Valid,Yes,Bridge,50-60
Kerala,2020,January,Thursday,19:54,Serious,3,Bus,3,3,Clear,National Highway,Dry,Dark,Police Checkpost,44,56,Female,Expired,No,Intersection,50-60
Karnataka,2022,June,Friday,20:12,Fatal,4,Auto-Rickshaw,1,0,Clear,Village Road,Wet,Dawn,Signals,39,40,Female,Expired,Yes,Straight Road,30-50
Telangana,2020,June,Monday,08:07,Fatal,3,Cycle,0,5,Stormy,National Highway,Under Construction,Dawn,Signals,54,50,Male,Expired,Yes,Curve,50-60
Meghalaya,2021,March,Sunday,04:08,Serious,3,Bus,8,1,Foggy,National Highway,Damaged,Dawn,Signals,116,24,Male,Valid,No,Curve,21-30
Telangana,2021,February,Friday,22:04,Serious,2,Two-Wheeler,4,3,Clear,National Highway,Dry,Daylight,Police Checkpost,60,56,Female,Expired,No,Curve,50-60
Sikkim,2021,December,Friday,21:32,Fatal,5,Bus,7,4,Stormy,National Highway,Wet,Dark,Signals,109,61,Female,Expired,Yes,Straight Road,60-70
Jharkhand,2020,July,Wednesday,12:46,Serious,2,Two-Wheeler,1,2,Rainy,Urban Road,Under Construction,Dusk,Police Checkpost,70,46,Male,Valid,No,Intersection,30-50
Uttarakhand,2022,January,Sunday,06:53,Fatal,3,Bus,0,2,Stormy,Village Road,Damaged,Dawn,Police Checkpost,87,58,Female,Expired,Yes,Bridge,50-60
Tamil Nadu,2021,October,Wednesday,08:38,Fatal,3,Bus,5,4,Clear,State Highway,Damaged,Dusk,Signals,67,51,Female,Expired,No,Bridge,50-60
Andhra Pradesh,2022,October,Tuesday,09:38,Serious,1,Cycle,5,3,Hazy,National Highway,Wet,Dusk,Signs,112,20,Male,Expired,No,Curve,18-21
Haryana,2022,February,Thursday,14:54,Serious,5,Cycle,8,1,Clear,Village Road,Damaged,Dark,Signals,37,25,Male,Valid,Yes,Bridge,21-30
Nagaland,2020,July,Sunday,14:58,Minor,5,Cycle,8,5,Stormy,National Highway,Dry,Dark,Signals,80,19,Male,Valid,Yes,Intersection,18-21
West Bengal,2023,May,Tuesday,13:36,Minor,5,Two-Wheeler,0,4,Hazy,Urban Road,Damaged,Dark,Signals,61,53,Female,Expired,No,Intersection,50-60
Odisha,2019,March,Thursday,15:05,Serious,1,Car,6,0,Hazy,State Highway,Dry,Dawn,Signs,90,69,Female,Valid,No,Bridge,60-70
West Bengal,2023,February,Saturday,00:13,Fatal,1,Bus,7,4,Hazy,State Highway,Dry,Daylight,Signs,71,31,Male,Valid,Yes,Bridge,30-50
Chhattisgarh,2018,April,Sunday,06:33,Fatal,1,Bus,0,2,Foggy,State Highway,Dry,Dusk,Signals,68,32,Male,Valid,Yes,Bridge,30-50
Punjab,2018,May,Saturday,07:00,Minor,1,Two-Wheeler,2,4,Hazy,Village Road,Damaged,Dawn,Signs,42,57,Female,Expired,No,Straight Road,50-60
Nagaland,2019,September,Thursday,09:24,Minor,2,Car,8,5,Stormy,State Highway,Wet,Dark,Police Checkpost,90,49,Female,Valid,No,Intersection,30-50
Haryana,2023,January,Friday,00:26,Minor,1,Bus,3,1,Stormy,State Highway,Under Construction,Dusk,Signs,98,56,Female,Valid,Yes,Intersection,50-60
Sikkim,2020,August,Friday,08:34,Serious,4,Two-Wheeler,8,4,Rainy,National Highway,Wet,Dark,Police Checkpost,73,70,Male,Expired,No,Curve,71-80
Chhattisgarh,2022,July,Monday,19:58,Fatal,3,Bus,10,0,Clear,State Highway,Dry,Dark,Signs,54,54,Male,Expired,No,Intersection,50-60
Chhattisgarh,2019,October,Saturday,08:59,Minor,3,Pedestrian,8,5,Rainy,Urban Road,Wet,Dusk,Signs,103,62,Female,Expired,No,Curve,60-70
Nagaland,2019,September,Saturday,21:35,Serious,5,Auto-Rickshaw,10,4,Rainy,Urban Road,Dry,Dusk,Signals,97,28,Male,Valid,No,Straight Road,21-30
Assam,2023,September,Saturday,23:25,Fatal,1,Bus,1,3,Clear,National Highway,Under Construction,Daylight,Police Checkpost,60,48,Male,Valid,Yes,Intersection,30-50
Bihar,2018,January,Thursday,14:33,Fatal,4,Auto-Rickshaw,0,2,Foggy,State Highway,Under Construction,Dusk,Signals,56,56,Male,Valid,No,Intersection,50-60
Assam,2020,June,Tuesday,00:49,Fatal,2,Two-Wheeler,9,5,Hazy,Urban Road,Wet,Dark,Signs,79,22,Female,Expired,No,Bridge,21-30
